term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
C(VehPower)[6],-0.11842852372200378,0.12176689801816652,0.3307601510501077,-0.35708725834677185,0.12023021090276427,0.8883153068595414,0.6997114394073054,1.1277564435267435
C(VehPower)[7],-0.13243012569369106,0.11797317594256117,0.2616310487676188,-0.3636533016829181,0.09879305029553598,0.8759641393544301,0.6951321541183744,1.1038378370054238
C(VehPower)[8],-0.24763730500683,0.12986615587424039,0.05653799403478499,-0.5021702933310059,0.006895683317345913,0.780643027255799,0.6052157376662084,1.0069195132846984
C(VehPower)[9],-0.05275645102185357,0.12765364826813877,0.6794029087047861,-0.3029530041225494,0.19744010207884227,0.9486110175946204,0.7386338082987531,1.2182800903393476
C(VehGas)[Regular],-0.18672830686506095,0.05219637093522583,0.00034700324810033045,-0.2890313140217968,-0.08442529970832506,0.8296691211707611,0.7489887511853681,0.9190403053915855
C(Region)[R21],0.9102415765255133,0.7122653548695715,0.20126603367595708,-0.4857728664544877,2.3062560195055144,2.4849227598880836,0.6152215288923321,10.036776726144852
C(Region)[R22],0.2546802794162754,0.20607627971218445,0.21651268529085987,-0.14922180688760833,0.6585823657201592,1.2900490996794627,0.8613780341274221,1.9320514497094852
C(Region)[R23],-0.1014497931588384,0.1723030592807227,0.5560041995516356,-0.4391575837751248,0.23625799745744802,0.9035265414170182,0.6445791964029413,1.266501022063196
C(Region)[R24],0.05632352587636351,0.09299489064059129,0.5447388338312542,-0.12594311052543639,0.23859016227816338,1.0579398993088938,0.8816650028154787,1.2694581581162683
C(Region)[R25],0.06019826222970148,0.25701457617278795,0.8148132581594187,-0.4435410505707892,0.5639375750301922,1.0620470894973242,0.6417598885838026,1.757579494098356
C(Region)[R26],0.009422130885268875,0.16323717199367296,0.9539712657471184,-0.3105168471605005,0.32936110893103826,1.0094666589001977,0.7330679741939167,1.390079735172783
C(Region)[R31],0.10564978745262145,0.1124597607606829,0.3475021925537889,-0.11476729334830783,0.32606686825355075,1.1114325707087949,0.8915735948742856,1.3855080122763603
C(Region)[R41],0.051903154462062825,0.2109304886082672,0.8056299205381516,-0.361513006451577,0.4653193153757027,1.0532737327126078,0.6966215354423041,1.5925226246673108
C(Region)[R42],-0.2536021174723782,0.20911991576556285,0.22524015842973255,-0.6634696208229313,0.15626538587817485,0.7760004976695547,0.5150611637419213,1.1691364342218697
C(Region)[R43],-0.08532701150073425,0.3209294391740585,0.7903357269507367,-0.7143371538605269,0.5436831308590583,0.9182119694267938,0.4895164783897923,1.7223387935212204
C(Region)[R52],-0.1312614250123888,0.10630860835449597,0.21693451933855257,-0.33962246863377477,0.0770996186089972,0.8769884776967571,0.7120390891156728,1.080149674041184
C(Region)[R53],0.040502259956563494,0.10902163378675016,0.7102602174037094,-0.17317621580118192,0.25418073571430894,1.041333663068705,0.8409894061646582,1.2894048247116394
C(Region)[R54],0.05194680923083563,0.1735675192342297,0.7647197228652498,-0.28823927735421767,0.3921328958158889,1.0533197141375108,0.7495822127305393,1.4801344020012992
