term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
C(Region)[R54],-0.06470335444291646,0.12058347362639824,0.5915538994359788,-0.30104261988139247,0.17163591099555953,0.9373454815114852,0.7400462313919611,1.1872454914842259
C(Region)[R72],-0.0172896557219812,0.10949433884848571,0.8745320024578067,-0.2318946163760381,0.19731530493207566,0.9828589526802362,0.7930296912460331,1.2181280619466628
C(Region)[R73],-0.19203524182950324,0.09776012583652302,0.04948935263897325,-0.383641567593192,-0.00042891606581449415,0.8252777836802392,0.6813756105153398,0.9995711759055315
C(Region)[R74],-0.15256161491598785,0.156478604615517,0.329576188150434,-0.4592540443134842,0.1541308144815085,0.8585059955519551,0.6317547308146337,1.166643490660159
C(Region)[R82],0.020036038475572452,0.07729157478280164,0.7954603453118034,-0.13145266440710301,0.1715247413582479,1.0202381071903397,0.8768207789869221,1.1871135131696644
C(Region)[R83],-0.3108487393763658,0.11941623624758717,0.009239327376456163,-0.5449002615909632,-0.07679721716176843,0.7328247150097293,0.5798996187209663,0.9260776272168889
C(Region)[R91],0.11186700321056726,0.10061894989490817,0.26622904696327154,-0.085342514745693,0.30907652116682754,1.118364111917411,0.9181977342720536,1.362166601093177
C(Region)[R93],0.20539799998560865,0.08311485314166246,0.013463975702567632,0.04249588124761447,0.3683001187236028,1.2280137171566998,1.0434117588101572,1.4452757281982966
C(Region)[R94],0.08912637910592233,0.14867465886426193,0.5488577997187654,-0.20227059768180974,0.3805233558936544,1.0932188076119118,0.8168738538613328,1.4630500849881372
C(Area)[B],-0.15670231088839978,0.09671068190889114,0.10516342434740422,-0.34625176435013577,0.03284714257333621,0.8549585327848209,0.7073343831060321,1.0333925654395921
C(Area)[C],-0.22888650522172138,0.12247008963942306,0.061634280169664324,-0.4689234700983826,0.011150459654939826,0.7954188042631958,0.6256754642058414,1.0112128577369666
C(Area)[D],-0.2647792302232982,0.17883952213909468,0.13872894941343183,-0.6152982526282774,0.08573979218168104,0.7673753445600304,0.5404796717852014,1.089522789069213
C(Area)[E],-0.3649534057644429,0.23610690417364022,0.12217400409231272,-0.8277144344460274,0.09780762291714168,0.6942289971938229,0.4370470453376637,1.1027506207538413
C(Area)[F],-0.7154671922219473,0.3050073211315147,0.018989462509358512,-1.3132705566607585,-0.117663827783136,0.4889636184259811,0.2689390361007729,0.888994857758923
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[1]",0.042698972079694114,0.10767528529958342,0.6916970167100456,-0.16834070913256452,0.2537386532919528,1.0436236876921337,0.8450658639728447,1.2888349274833883
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[2]",-0.09025072860136345,0.08461422694209013,0.28614612497948855,-0.25609156598755883,0.07559010878483192,0.913702065308067,0.774071086963597,1.078520407502946
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[3]",-0.04245314007267904,0.38319438785255194,0.9117848747937933,-0.7935003393415537,0.7085940591961956,0.958435376680765,0.4522589615876904,2.031133596664151
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[4]",-1.1489134435156325,2.1554922288833787,0.5940219915862588,-5.373600581083021,3.0757736940517564,0.3169810000932018,0.0046374038654617335,21.666638777876244
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[5]",-0.12909679685389921,1.0051869421985908,0.8978081890110374,-2.0992270012930825,1.8410334075852839,0.8788888877487571,0.12255112350861504,6.3030485147200315
